101
1 2 29 30
2 3 3 5 50
3 1 29
4 2 28 29
5 1 6
6 1 27
7 5 8 19 23 25 26
8 3 23 24 25
9 3 21 24 25
10 3 12 15 19
11 4 14 22 24 51
12 3 13 19 25
13 4 18 20 70 82
14 4 23 24 38 43
15 1 37
16 3 20 71 86
17 2 20 37
18 2 21 40
19 1 25
20 0
21 1 44
22 1 51
23 1 26
24 0
25 0
26 1 27
27 0
28 2 30 36
29 0
30 1 49
31 4 32 41 42 43
32 3 33 35 45
33 2 34 42
34 2 35 36
35 2 36 45
36 0
37 0
38 1 39
39 1 41
40 2 64 79
41 2 42 43
42 0
43 2 45 48
44 1 51
45 2 46 47
46 2 47 49
47 3 48 49 50
48 0
49 1 50
50 0
51 0
52 4 58 88 94 100
53 4 61 74 75 85
54 2 64 82
55 2 56 99
56 2 62 99
57 5 62 63 79 81 87
58 3 63 65 81
59 3 60 68 84
60 2 72 73
61 2 74 86
62 1 78
63 2 64 79
64 1 79
65 2 66 82
66 3 67 69 100
67 2 68 100
68 0
69 1 70
70 1 83
71 2 83 84
72 3 84 85 86
73 1 85
74 3 75 77 101
75 2 76 77
76 1 77
77 1 101
78 1 80
79 1 80
80 0
81 1 91
82 0
83 0
84 1 86
85 0
86 0
87 4 90 91 96 98
88 4 89 91 92 97
89 3 92 93 94
90 3 91 96 97
91 0
92 1 97
93 1 94
94 1 100
95 2 96 98
96 1 97
97 0
98 1 99
99 0
100 0
101 0
