"","IX-EF_MF-1","IX-EF_MF-2","IX-EF_MF-3"
"IX-EF_MF-1",0,1.8874942934739,3.18388372900016
"IX-EF_MF-2",1.8874942934739,0,1.29638943552626
"IX-EF_MF-3",3.18388372900016,1.29638943552626,0
