Site,Region,Period,Number,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,Architecture,TerraceConfidence,TerraceExtent,Sherd,SherdMed,SherdMin,SherdMax,Rubble,RubbleMed,RubbleMin,RubbleMax,Population,PopMin,PopMax,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,OccSeqLoc,SubOc1,SubOc2,PdDupSite,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum,
TE-LT-207,TE,LT,207,0,,,,,,,2167.64,513,2333,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,Grazing & Agri,,620,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,A,A,0,3,,2168,513,2167640,513000,3079,
TE-LT-206,TE,LT,206,0,,,,,,,2166.78,512,2315,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,"Graz, Agri, & Set",,630,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,34,B,B,0,3,,2167,512,2166780,512000,3078,
TE-LT-303,TE,LT,303,0,,,,,,,2173.98,528,2499,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Unknown,,,,Grazing & Agri,,640,4.8,,,,,,,FALSE,,,,,,,,,,,48,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,A,A,0,3,,2174,528,2173980,528000,3100,
TE-LT-304,TE,LT,304,0,,,,,,,2172.72,529,2570,0,0,0,,Upper Piedmont,Shallow,,,,Unknown,,,,Grazing & Agri,,650,2.7,,,,,,,FALSE,,,,,,,,,,,50,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,A,A,0,3,,2173,529,2172720,529000,3101,
TE-LT-302,TE,LT,302,0,,,,,,,2175.19,527,2423,0,0,0,,Middle Piedmont,Medium,,,,Unknown,,,,Grazing & Agri,,640,7.2,,,,,,,FALSE,,,,,,,,,,,60,0,0,AD,6,Hamlet,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,39,B,C,0,3,,2175,527,2175190,527000,3099,
TE-LT-33b,TE,LT,33,0,,,,,,,2188.49,515,2430,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,550,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,B,B,0,3,,2188,515,2188490,515000,2956,
TE-LT-31,TE,LT,31,0,,,,,,,2188.57,514,2425,0,0,0,,Middle Piedmont,Medium-Deep,,,,Unknown,,,,Agricultural,,550,,,,,,,,FALSE,,,,,,,,,,,60,0,0,AD,6,Hamlet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,43,B,C,0,3,,2189,514,2188570,514000,2950,
TE-LT-31a,TE,LT,31,0,,,,,,,2188.93,514,2412,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,550,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,43,B,C,0,3,,2189,514,2188930,514000,2951,
TE-LT-32,TE,LT,32,0,,,,,,,2188.34,514,2424,0,0,0,,Middle Piedmont,Medium-Deep,,,,Unknown,,,,Agricultural,,550,,,,,,,,FALSE,,,,,,,,,,,50,0,0,AD,6,Hamlet,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,43,B,C,0,3,,2188,514,2188340,514000,2953,
TE-LT-33,TE,LT,33,0,,,,,,,2187.95,515,2433,0,0,0,,Middle Piedmont,Medium-Deep,,,,Unknown,,,,Agricultural,,550,,,,,,,,FALSE,,,,,,,,,,,150,0,0,AD,3,Sm Disp Village,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,43,B,C,0,3,,2188,515,2187950,515000,2954,
TE-LT-225*,TE,LT,225,0,,,,,,,2187,517,2520,0,0,0,,Upper Piedmont,Shallow-Medium,,,,Moderate,,,,"Graz, Agri, & Set",,530,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,45,B,C,0,3,,2187,517,2187000,517000,3096,
TE-LT-35,TE,LT,35,0,,,,,,,2187.5,518,2520,0,0,0,,Upper Piedmont,Shallow,,,,Slight,,,,Agricultural,,530,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,45,B,C,0,3,,2188,518,2187500,518000,2960,
TE-LT-36,TE,LT,36,0,,,,,,,2186.77,518,2565,0,0,0,,Upper Piedmont,Very Shallow,,,,Very Slight,,,,Agricultural,,520,,,,,,,,FALSE,,,,,,,,,,,150,0,0,AD,4,Sm Nucl Village,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,46,B,B,0,3,,2187,518,2186770,518000,2962,
TE-LT-38,TE,LT,38,0,,,,,,,2186.4,516,2512,0,0,0,,Upper Piedmont,Very Shallow,,,,Deep,,,,Grazing & Agri,,540,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52,A,A,0,3,,2186,516,2186400,516000,2965,
TE-LT-37,TE,LT,37,0,,,,,,,2188.08,516,2453,0,0,0,,Middle Piedmont,Medium-Deep,,,,Moderate,,,,Agricultural,,540,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,12,Unknown,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,53,B,B,0,3,,2188,516,2188080,516000,2963,
