Site,Region,Period,Number,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,Architecture,TerraceConfidence,TerraceExtent,Sherd,SherdMed,SherdMin,SherdMax,Rubble,RubbleMed,RubbleMin,RubbleMax,Population,PopMin,PopMax,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,OccSeqLoc,SubOc1,SubOc2,PdDupSite,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum,
CH-AZ-1,CH,AZ,1,1001001,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2136.15,518.43,2390,0,2370,2410,15,"Lower piedmont, Smooth terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,Grazing,None or Unspecified,760,6.1,2,0,0,1,1,180,FALSE,,Trace,,,,,,,,,70,35,70,AD,6,Large hamlet,,2,0,1,0,0,0,0,,0,0,0,0,0,1,1,1,B,B,0,4,,2136,518,2136150,518430,1,
CH-AZ-2,CH,AZ,2,1001002,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2135.38,518.68,2450,2450,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,790,4.1,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,80,40,80,AD,6,Large hamlet,,3,0,1,0,0,0,0,,0,0,0,0,1,1,1,2,B,B,0,4,,2135,519,2135380,518680,112,
CH-AZ-3,CH,AZ,3,1001003,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2134.53,516.27,2350,0,2300,2400,15,"Lower piedmont, Smooth terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,Grazing and Agriculture,None or Unspecified,700,64,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,1280,640,1280,AD,7,Large dispersed village,,3,0,0,0,0,0,0,,0,1,1,0,1,1,2,3,A,A,0,4,,2135,516,2134530,516270,211,
CH-AZ-4,CH,AZ,4,1001004,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2133.53,513.95,2270,2270,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,Moderate (determination of boundaries problematic),690,3.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,40,20,40,AD,6,Large hamlet,,2,0,0,1,0,0,0,,0,0,0,0,0,1,1,4,C,D,0,4,,2134,514,2133530,513950,222,
CH-AZ-5,CH,AZ,5,1001005,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2133.03,516.35,2330,0,2300,2360,15,"Lower piedmont, Smooth terrain",Medium,,Shallow (1-25 cm),Deep (100+ cm),Moderate-deep,,Moderate,Deep,Grazing and Agriculture,None or Unspecified,730,70.6,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,1000,500,1000,AD,7,Large dispersed village,,3,0,0,0,0,0,0,,0,0,2,0,1,1,2,5,A,A,0,4,,2133,516,2133030,516350,233,
CH-AZ-6,CH,AZ,6,1001006,,Chalco,Aztec,72-1,Jeffrey Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2133.58,519.97,2500,2500,0,0,18,"Upper piedmont, Smooth terrain",Fully eroded,Fully eroded,,,Deep,Deep,,,None,None or Unspecified,910,0.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,6,A,A,0,4,,2134,520,2133580,519970,244,
CH-AZ-7,CH,AZ,7,1001007,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.47,517.1,2325,0,2300,2350,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Fully eroded,Deep (100+ cm),Moderate-deep,,Moderate,Deep,Grazing and Agriculture,Slight (no difficulty in recognizing site boundaries),760,60,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,800,400,800,AD,7,Large dispersed village,2,3,0,0,1,0,1,0,,1,0,0,0,1,1,2,7,C,C,0,4,,2131,517,2131470,517100,255,
CH-AZ-8,CH,AZ,8,1001008,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.2,518.57,2350,2350,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,780,2.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,50,25,50,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,8,A,A,0,4,,2131,519,2131200,518570,266,
CH-AZ-9,CH,AZ,9,1001009,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.85,518.75,2345,0,2340,2350,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-deep,,Moderate,Deep,Grazing and Agriculture,None or Unspecified,790,5.2,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,60,30,60,AD,6,Large hamlet,,2,0,1,0,0,0,0,,0,0,0,0,0,1,1,9,C,D,0,4,,2131,519,2130850,518750,277,
CH-AZ-10,CH,AZ,10,1001010,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.85,519.75,2360,2360,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,830,1.1,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,15,10,15,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,10,A,A,0,4,,2131,520,2130850,519750,2,
CH-AZ-11,CH,AZ,11,1001011,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.25,520.9,2420,2420,0,0,15,"Lower piedmont, Smooth terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,Grazing,None or Unspecified,910,0.2,0,0,0,0,0,,FALSE,,,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,11,A,A,0,4,,2131,521,2131250,520900,13,
CH-AZ-12,CH,AZ,12,1001012,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.63,520.18,2380,2380,0,0,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-deep,,Moderate,Deep,Agricultural,None or Unspecified,850,0.7,0,0,0,0,0,,FALSE,,,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,1,1,0,0,1,2,12,A,B,0,4,,2131,520,2130630,520180,24,
CH-AZ-13,CH,AZ,13,1001013,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.2,519.72,2350,2350,0,0,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-deep,,Moderate,Deep,Agricultural,None or Unspecified,850,1.3,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,13,A,B,0,4,,2130,520,2130200,519720,35,
CH-AZ-14,CH,AZ,14,1001014,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2129.75,518.77,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,None,None or Unspecified,810,2.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,40,20,40,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,14,A,B,0,4,,2130,519,2129750,518770,46,
CH-AZ-15,CH,AZ,15,1001015,,Chalco,Aztec,69-1,Mary Parsons,1969 Survey Map (1:25000),2129.13,520.72,2375,0,2350,2400,15,"Lower piedmont, Smooth terrain",Very shallow,,Fully eroded,Shallow (1-25 cm),Deep,Deep,,,Grazing,None or Unspecified,900,13.9,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,140,70,140,AD,3,Small dispersed village,,3,0,0,0,1,0,0,,0,1,0,0,1,1,2,15,C,C,0,4,,2129,521,2129130,520720,57,
CH-AZ-16,CH,AZ,16,1001016,,Chalco,Toltec,69-1,Mary Parsons,1969 Survey Map (1:25000),2128.5,520.77,2350,2350,0,0,15,"Lower piedmont, Smooth terrain",Shallow (1-25 cm),,Fully eroded,Medium,Deep,Deep,,,Grazing and Agriculture,None or Unspecified,910,3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,1,0,0,1,1,1,16,B,B,0,4,,2128,521,2128500,520770,68,
CH-AZ-17,CH,AZ,17,1001017,,Chalco,Aztec,69-1,Mary Parsons,1969 Survey Map (1:25000),2127.13,520.02,2310,2310,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,900,4.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,1,0,0,1,1,1,17,C,C,0,4,,2127,520,2127130,520020,79,
CH-AZ-18,CH,AZ,18,1001018,,Chalco,Aztec,69-1,Mary Parsons,1969 Survey Map (1:25000),2127.1,519.25,2300,0,2290,2310,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate,Moderate,,,Agricultural,None or Unspecified,850,8.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,80,40,80,AD,6,Large hamlet,,3,0,0,0,0,1,0,,1,1,1,0,1,1,3,18,A,A,0,4,,2127,519,2127100,519250,90,
CH-AZ-19,CH,AZ,19,1001019,,Chalco,Toltec,69-1,Mary Parsons,1969 Survey Map (1:25000),2126.63,519.35,2310,2310,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,875,0.7,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,19,A,B,0,4,,2127,519,2126630,519350,101,
CH-AZ-20,CH,AZ,20,1001020,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2125.7,518.65,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate,Moderate,,,Agricultural,None or Unspecified,860,4.3,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,90,45,90,AD,6,Large hamlet,,2,0,1,1,1,0,0,,0,0,1,0,0,1,4,20,A,A,0,4,,2126,519,2125700,518650,113,
CH-AZ-21,CH,AZ,21,1001021,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2125.6,517.82,2295,0,2290,2300,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,830,6,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,60,30,60,AD,6,Large hamlet,2,3,0,0,1,1,2,1,,1,0,0,0,1,1,4,20,A,A,0,4,,2126,518,2125600,517820,124,
CH-AZ-22,CH,AZ,22,1001022,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2125.1,518.85,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,860,11.7,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,120,60,120,AD,3,Small dispersed village,2,3,0,0,1,1,2,1,,1,0,0,0,1,1,4,20,A,A,0,4,,2125,519,2125100,518850,135,
CH-AZ-23,CH,AZ,23,1001023,Tlalmanalco,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2123.53,520.65,2385,0,2360,2410,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Settlement,Extensive (beyond control),940,80,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,4000,2000,4000,AD,10,Local center,,2,0,0,1,1,0,0,,0,0,1,0,0,1,3,23,B,C,0,4,,2124,521,2123530,520650,146,
CH-AZ-24,CH,AZ,24,1001024,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2122.45,520.77,2430,2430,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,960,1,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,15,10,15,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,24,A,A,0,4,,2122,521,2122450,520770,157,
CH-AZ-25,CH,AZ,25,1001025,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2121.75,520.15,2500,2500,0,0,18,"Upper piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,950,0.9,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,1,0,0,1,1,1,25,B,B,0,4,,2122,520,2121750,520150,168,
CH-AZ-26,CH,AZ,26,1001026,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2121.28,520.02,2530,2530,0,0,18,"Upper piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,950,1.1,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,1,0,0,0,1,1,26,B,B,0,4,,2121,520,2121280,520020,179,
CH-AZ-27,CH,AZ,27,1001027,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2120.75,519.55,2550,2550,0,0,18,"Upper piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,930,8.3,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,160,80,160,AD,3,Small dispersed village,,3,0,0,0,0,0,0,,0,1,0,0,1,1,1,27,A,A,0,4,,2121,520,2120750,519550,190,
CH-AZ-28,CH,AZ,28,1001028,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2121.47,516.6,2430,2430,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,830,0.9,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,28,A,A,0,4,,2121,517,2121470,516600,201,
CH-AZ-29,CH,AZ,29,1001029,,Chalco,Aztec,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2120.78,517.95,2470,2470,0,0,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-deep,,Moderate,Deep,Agricultural,None or Unspecified,880,1.4,0,0,0,0,0,,FALSE,,,Light,Light-moderate,Moderate,Moderate,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,29,A,A,0,4,,2121,518,2120780,517950,210,
CH-AZ-30,CH,AZ,30,1001030,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2120.04,522.1,2550,2550,0,0,1,Amecameca,Shallow (1-25 cm),Shallow (1-25 cm),,,Deep,Deep,,,Agricultural,None or Unspecified,1040,0.7,0,0,0,0,0,,FALSE,,,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,30,A,A,0,4,,2120,522,2120040,522100,212,
CH-AZ-31,CH,AZ,31,1001031,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2119.16,522.68,2490,2490,0,0,1,Amecameca,Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,Agricultural,None or Unspecified,1025,1.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,31,A,A,0,4,,2119,523,2119160,522680,213,
CH-AZ-32,CH,AZ,32,1001032,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2118.66,524.5,2500,2500,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,1050,0.5,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,32,A,A,0,4,,2119,524,2118660,524500,214,
CH-AZ-33,CH,AZ,33,1001033,,,,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2116.88,524.78,2480,2480,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,1050,0.2,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,33,A,A,0,4,,2117,525,2116880,524780,215,
CH-AZ-34,CH,AZ,34,1001034,,,,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2118.38,522.53,2490,2490,0,0,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,1010,0.5,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,34,A,A,0,4,,2118,523,2118380,522530,216,
CH-AZ-35,CH,AZ,35,1001035,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2117.61,522.22,2480,2480,0,0,1,Amecameca,Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,Agricultural,None or Unspecified,1020,2.7,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,6,Large hamlet,,2,0,0,1,0,0,0,,0,1,0,0,0,1,2,35,C,C,0,4,,2118,522,2117610,522220,217,
CH-AZ-36,CH,AZ,36,1001036,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2118.36,520.4,2610,2610,0,0,18,"Upper piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Grazing,None or Unspecified,1000,1.5,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,,15,10,15,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,36,A,A,0,4,,2118,520,2118360,520400,218,
CH-AZ-37,CH,AZ,37,1001037,,Amecameca,Late Toltec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2117.19,520.68,2500,2500,0,0,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,1010,0.7,0,0,0,0,0,,FALSE,,,,,,,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,1,0,0,0,0,0,0,,0,0,1,0,1,0,1,37,A,A,0,4,,2117,521,2117190,520680,219,
CH-AZ-38,CH,AZ,38,1001038,,Amecameca,Classic,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2116.31,523.8,2470,2470,0,0,1,Amecameca,Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,Grazing and Agriculture,None or Unspecified,1050,0.8,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,1,1,,0,0,0,0,0,1,1,38,B,B,0,4,,2116,524,2116310,523800,220,
CH-AZ-39,CH,AZ,39,1001039,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2115.41,523.47,2470,2470,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,1040,2.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,6,Large hamlet,1,1,0,0,0,0,1,1,,0,0,0,0,1,0,1,39,B,B,0,4,,2115,523,2115410,523470,221,
CH-AZ-40,CH,AZ,40,1001040,,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2114.29,522.97,2460,2460,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,1040,0.9,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,1,3,0,0,0,0,1,1,,0,0,0,0,1,1,1,40,B,B,0,4,,2114,523,2114290,522970,223,
CH-AZ-41,CH,AZ,41,1001041,Amecameca,Amecameca,Aztec,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2113.41,523.3,2470,2470,0,0,1,Amecameca,Medium-deep,,Medium,Deep (100+ cm),Moderate,Moderate,,,Agricultural,Extensive (beyond control),1050,400,0,1,0,1,1,,FALSE,,,Very light,Light-moderate,,,,,,,10000,10000,10000,AD,10,Local center,3,3,0,0,0,0,2,1,,1,0,0,0,1,1,2,41,A,A,0,4,,2113,523,2113410,523300,224,
CH-AZ-42,CH,AZ,42,1001042,,,,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2113.16,522.4,2460,2460,0,0,1,Amecameca,Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,1040,0.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,42,A,A,0,4,,2113,522,2113160,522400,225,
CH-AZ-43,CH,AZ,43,1001043,,,,72-1,Earl Prahl,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2113.01,524.1,2470,2470,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Moderate,Moderate,,,Agricultural,Extensive (beyond control),1070,1.2,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,15,10,15,AD,12,Questionable,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,43,A,A,0,4,,2113,524,2113010,524100,226,
CH-AZ-44,CH,AZ,44,1001044,,,,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2112.61,525.17,2480,2480,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,1075,1.1,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,44,A,A,0,4,,2113,525,2112610,525170,227,
CH-AZ-45,CH,AZ,45,1001045,,,,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2112.36,525.56,2490,2490,0,0,1,Amecameca,Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,1085,1.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,45,A,A,0,4,,2112,526,2112360,525560,228,
CH-AZ-46,CH,AZ,46,1001046,,,,72-1,Jeffrey Parsons,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2113.04,526.59,2500,2500,0,0,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,1100,0.6,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,15,10,15,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,46,A,A,0,4,,2113,527,2113040,526590,229,
CH-AZ-47,CH,AZ,47,1001047,,,,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2113.63,527.71,2560,2560,0,0,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,1120,0.1,0,0,0,0,0,,FALSE,Definite,,,,,,,,Unspecified,Unspecified,0,0,0,AD,1,Isolated ceremonial site,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,47,A,A,0,4,,2114,528,2113630,527710,230,
CH-AZ-48,CH,AZ,48,1001048,,,,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2112.01,526.59,2510,2510,0,0,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,1100,1.2,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,48,A,A,0,4,,2112,527,2112010,526590,231,
CH-AZ-49,CH,AZ,49,1001049,,,,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2112.36,526.36,2505,0,2500,2510,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,1100,6.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,60,30,60,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,49,A,A,0,4,,2112,526,2112360,526360,232,
CH-AZ-50,CH,AZ,50,1001050,,,,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2112.06,526.17,2500,2500,0,0,1,Amecameca,Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,1100,0.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,50,A,A,0,4,,2112,526,2112060,526170,234,
CH-AZ-51,CH,AZ,51,1001051,,Amecameca,Aztec,72-1,Earl Prahl,"Iztacclhuatl, Popocatepetl Ozalid (1:25000)",2111.61,526.29,2520,0,2510,2530,1,Amecameca,Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,1100,9.5,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,100,50,100,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,51,A,A,0,4,,2112,526,2111610,526290,235,
