"","CH-EF-1","CH-EF-2","IX-EF-1","IX-EF-2","IX-EF-3","XO-EF-1","XO-EF-2"
"CH-EF-1",0,330.532786673429,18203.0076450039,23364.7486214371,27689.6557810393,25205.4900982864,24782.084004007
"CH-EF-2",330.532786673429,0,18458.6115421453,23620.3525185785,27945.2596781806,25461.0939954278,25037.6879011484
"IX-EF-1",18203.0076450039,18458.6115421453,0,6794.97945650604,9671.12638926264,9453.12786452666,9362.71081714197
"IX-EF-2",23364.7486214371,23620.3525185785,6794.97945650604,0,4667.00196789453,2658.14840802061,2570.11475559423
"IX-EF-3",27689.6557810393,27945.2596781806,9671.12638926264,4667.00196789453,0,4376.94382377141,4806.03245520985
"XO-EF-1",25205.4900982864,25461.0939954278,9453.12786452666,2658.14840802061,4376.94382377141,0,494.749561570625
"XO-EF-2",24782.084004007,25037.6879011484,9362.71081714197,2570.11475559423,4806.03245520985,494.749561570625,0
