"","CH-LF_TF-9","CH-LF_TF-7","CH-LF_TF-21","CH-LF_TF-1","CH-LF_TF-24","CH-LF_TF-22","CH-LF_TF-23","CH-LF_TF-4","CH-LF_TF-3","CH-LF_TF-25","CH-LF_TF-5","CH-LF_TF-2","CH-LF_TF-6","CH-LF_TF-10","CH-LF_TF-19","CH-LF_TF-17","CH-LF_TF-18","CH-LF_TF-20","CH-LF_TF-16","CH-LF_TF-12/13/14/15","CH-LF_TF-11","CH-LF_TF-8","IX-LF_TF-1","IX-LF_TF-2/3","TX-LF_TF-5","TX-LF_TF-6/7/8","TX-LF_TF-2","TX-LF_TF-1","TX-LF_TF-3/4"
"CH-LF_TF-10",4414.63112388629,8994.57805857919,9544.29474436406,14395.7619642757,11634.9063711855,13705.3808528218,17763.0883824547,13050.2791986668,12803.0420866992,20596.1389586128,9875.53183565883,14346.0779371853,9417.06266096733,0,2248.21109014653,6286.4753173169,6232.07920815155,1625.92582082421,5241.4437897217,5374.59775386057,2762.61663520545,5699.22643413372,21372.5985698745,28877.915534319,29792.3887518053,33101.3269487229,30816.8762033875,31069.8865744357,30289.1704001288
"CH-LF_TF-19",5036.7026697331,9814.1579749141,10788.8178378285,15157.8585783125,13329.4365973345,15165.3902878632,19266.3795816552,13208.3363313183,12442.9182972379,22599.1754908047,10539.4223436486,14024.6385514469,10077.3160438631,2248.21109014653,0,4224.54302414545,4079.52544153269,732.520624485118,3370.05327740904,4009.22957671224,2541.88419681974,5885.88582683152,22612.0805957711,30668.2281565693,30526.6847710331,34316.0210216634,31276.5983411471,31703.1511687277,30858.7653409343
"CH-LF_TF-17",6568.06879408142,10594.1299408158,12235.9613083963,15369.3549322229,15490.0087476248,16752.7517892116,20799.6953664719,12411.2844635183,10735.3941114535,25279.1421936649,10947.6026434057,12271.146208995,10535.3222214792,6286.4753173169,4224.54302414545,0,605.304181950371,4956.48850477259,1262.48741100048,2521.32468146673,4572.65047205125,6417.22601315248,23496.8082963884,32684.9724560977,30237.0082840895,34962.2285662565,30447.0581237328,31199.8889308721,30244.4038630349
"CH-LF_TF-18",6909.5168305802,11064.362441217,12652.3952455461,15903.0907427889,15839.6177271776,17172.5252519506,21234.2059298813,12992.86021915,11339.2860810278,25577.4718111858,11450.9580288673,12876.0753317699,11032.3198917576,6232.07920815155,4079.52544153269,605.304181950371,0,4809.01954936493,1598.00594475246,3008.43876625196,4769.2838745204,6861.31827571581,23994.7687940586,33079.6413570974,30813.446642137,35487.0884501154,31042.5448970744,31785.2693972824,30833.3913497694
"CH-LF_TF-20",5059.78208718974,9827.08359154611,10657.6804875527,15209.2496269051,13028.6315027904,14963.9083931937,19052.8737269422,13447.8954307493,12831.8160609485,22157.7009367968,10607.9762734685,14407.0937458768,10144.6853882823,1625.92582082421,732.520624485118,4956.48850477259,4809.01954936493,0,4077.39444351449,4608.58054748214,2725.57551961559,6064.57939855459,22504.5805225056,30336.2569521548,30604.8202421658,34224.4641012333,31445.6026218255,31815.7714702546,30991.9191609344
"CH-LF_TF-16",5326.27132376939,9487.80318471069,11054.789111536,14402.5489454703,14255.2187298351,15575.0187101606,19638.8486601122,11652.2594302769,10227.0384892464,24024.1515663927,9906.69592205816,11795.0968479765,9480.81629682552,5241.4437897217,3370.05327740904,1262.48741100048,1598.00594475246,4077.39444351449,0,1506.75140505302,3324.8082061804,5273.4806499671,22437.2444281534,31482.8533814388,29427.8689522976,33962.914516803,29773.022786552,30443.768558248,29514.3683026065
"CH-LF_TF-12/13/14/15",4231.77684249258,8072.84303384813,9739.85404794284,12909.9962515251,13075.1029607452,14250.5754886086,18286.7525972183,10156.3665786657,8830.35018222832,22938.7021914443,8442.52076571888,10408.9344385744,8024.59001720926,5374.59775386057,4009.22957671224,2521.32468146673,3008.43876625196,4608.58054748214,1506.75140505302,0,2865.66744112278,3907.52548901484,20987.350045683,30200.2119326594,27922.1005070051,32483.7979344989,28288.9102463483,28943.2727382557,28018.1524738136
"CH-LF_TF-11",2557.27144571301,7303.72318112345,8423.92121758591,12623.4233605972,11264.0673828967,12883.6691767588,16988.9646560118,10723.584864323,10173.5066950541,20860.7996718999,8002.94285229472,11738.692094741,7541.55365627316,2762.61663520545,2541.88419681974,4572.65047205125,4769.2838745204,2725.57551961559,3324.8082061804,2865.66744112278,0,3355.09780750688,20180.8870336846,28601.7618750785,27985.4148078305,31860.6638159966,28750.0747763037,29162.2706906778,28321.0901198371
"CH-LF_TF-8",1500.28170205305,4228.21786524579,5836.45753280601,9366.13653915453,9272.52318926501,10343.3510098663,14382.4808448578,7399.13195902251,7196.91005844677,19210.9621869151,4760.22221353165,8702.21945818558,4310.14756213231,5699.22643413372,5885.88582683152,6417.22601315248,6861.31827571581,6064.57939855459,5273.4806499671,3907.52548901484,3355.09780750688,0,17201.3886802029,26299.2923138364,24671.3173592791,28793.8725486342,25395.1361226812,25824.1170187122,24973.7381959932
"IX-LF_TF-1",17623.6163384316,12975.3298708709,11849.1997167717,8399.26531986686,10511.3932657495,7876.02150203203,4589.65221471713,12381.8030678048,15333.044639943,11109.2786219825,12549.8552351901,14800.1128420878,12962.7971296651,21372.5985698745,22612.0805957711,23496.8082963884,23994.7687940586,22504.5805225056,22437.2444281534,20987.350045683,20180.8870336846,17201.3886802029,0,11588.9693072267,10413.015636298,11728.8254401391,13359.9358547276,12221.7283416409,12055.6607073392
"IX-LF_TF-2/3",26198.9075453659,22312.0351955357,20462.8668195962,19151.6341626321,17351.3573609925,15975.3651696831,12101.4984248384,23316.9409826653,26330.3238520243,9338.9746469834,22298.3462352461,26046.3194756578,22604.8352703197,28877.915534319,30668.2281565693,32684.9724560977,33079.6413570974,30336.2569521548,31482.8533814388,30200.2119326594,28601.7618750785,26299.2923138364,11588.9693072267,0,17380.9703351713,11721.9973567561,21319.6711265968,19170.0022221275,19709.5501034681
"TX-LF_TF-5",25545.6991679757,20807.2069539606,20510.2386926009,15404.654965763,20320.6948554929,17548.2823046261,14959.5845278727,17832.5677897251,19984.227317153,20918.2591653275,19997.5588599134,18736.8675202715,20460.7968370391,29792.3887518053,30526.6847710331,30237.0082840895,30813.446642137,30604.8202421658,29427.8689522976,27922.1005070051,27985.4148078305,24671.3173592791,10413.015636298,17380.9703351713,0,8363.18308759595,3977.09111022648,1900.96570757399,2361.17975678639
"TX-LF_TF-6/7/8",29305.7913971295,24594.4594384821,23574.4960799471,19601.6653946694,22016.5518134122,19520.7480956259,15729.0747504412,23087.5566401862,25758.1603899772,18583.4691580667,24063.4136457931,24813.6973079834,24499.1258062967,33101.3269487229,34316.0210216634,34962.2285662565,35487.0884501154,34224.4641012333,33962.914516803,32483.7979344989,31860.6638159966,28793.8725486342,11728.8254401391,11721.9973567561,8363.18308759595,0,12035.0246688454,9533.23921895305,10535.90581311
"TX-LF_TF-2",26444.8815208093,21872.1914552099,21967.7414905039,16563.3973541563,22410.7821821884,19661.1436368592,17689.2906325983,18151.8601057541,19815.1080311557,24282.4999637508,20944.9345165909,18393.4889864863,21401.4040470886,30816.8762033875,31276.5983411471,30447.0581237328,31042.5448970744,31445.6026218255,29773.022786552,28288.9102463483,28750.0747763037,25395.1361226812,13359.9358547276,21319.6711265968,3977.09111022648,12035.0246688454,0,2507.31221779981,1617.46808366567
"TX-LF_TF-1",26767.4475352547,22075.7213506837,21918.2498412568,16680.7695805326,21933.8507206117,19159.8925881679,16733.3815156605,18796.6058300065,20755.4803990737,22811.4735387071,21219.0280583632,19426.082276614,21681.6233913022,31069.8865744357,31703.1511687277,31199.8889308721,31785.2693972824,31815.7714702546,30443.768558248,28943.2727382557,29162.2706906778,25824.1170187122,12221.7283416409,19170.0022221275,1900.96570757399,9533.23921895305,2507.31221779981,0,1220.6323763341
"TX-LF_TF-3/4",25956.8258098682,21304.1517293805,21247.4212609261,15931.6668021514,21451.09056843,18683.6502692329,16479.8360078887,17862.2049802157,19733.1886163439,22862.7378624049,20419.308074083,18376.0550651313,20880.3488500869,30289.1704001288,30858.7653409343,30244.4038630349,30833.3913497694,30991.9191609344,29514.3683026065,28018.1524738136,28321.0901198371,24973.7381959932,12055.6607073392,19709.5501034681,2361.17975678639,10535.90581311,1617.46808366567,1220.6323763341,0
