"","CH-ET-3","CH-ET-5","CH-ET-6","CH-ET-7","CH-ET-8/9","CH-ET-27","CH-ET-10","CH-ET-24/26","CH-ET-28/29","CH-ET-12","CH-ET-13","CH-ET-14","CH-ET-15","CH-ET-2","CH-ET-1","CH-ET-21","CH-ET-20","CH-ET-18","CH-ET-23","CH-ET-4","CH-ET-11","CH-ET-19","CH-ET-25","CH-ET-32","CH-ET-16","CH-ET-17","CH-ET-31","CH-ET-30","CH-ET-22","IX-ET-2","IX-ET-3","IX-ET-8","IX-ET-1","IX-ET-17","IX-ET-5","IX-ET-7","IX-ET-18/21","IX-ET-15","IX-ET-19","IX-ET-20","IX-ET-10","IX-ET-12","IX-ET-14","IX-ET-13","IX-ET-6","IX-ET-9","IX-ET-11","TX-ET-18","TX-ET-22","TX-ET-21","TX-ET-19/20","TX-ET-17","IX-ET-4/16/23TX-ET-4/16/23","XO-ET-3","XO-ET-8","XO-ET-9","XO-ET-5","XO-ET-6","XO-ET-4","XO-ET-1","XO-ET-2"
"TX-ET-18",16211.2580647599,17806.3424561456,18233.1874673444,18585.5173529153,19385.6039842057,16053.1031156892,18867.3678700498,17825.7977105971,14100.9183613145,20250.0734996609,24107.3919871252,24378.7184782151,24637.8739627593,11324.3158609338,11130.3982431863,28339.4467299193,28548.5395369327,28859.0218762282,19711.0776936773,17510.10523117,21240.5914023142,29157.7216097906,17104.0527487769,20035.5223482499,28660.8666326423,28763.0130562707,20813.9598651621,21986.1710570378,28614.1636297031,1364.02470701922,2168.54818906329,14856.5740644584,3982.87686974111,8782.3418159497,9023.81977951656,9771.14146026006,11077.8810718637,14635.1338185457,13728.1121238166,12684.4380365777,13431.9153473461,18974.4732167294,18958.9177409491,21333.5865735505,14710.3935058348,14238.4430832675,16568.5284764807,0,5048.36283679909,8262.99569574013,6088.06885122636,2951.08668285979,5862.24410223893,20169.5910885959,22592.2468162996,23062.3268208684,21490.640670734,21905.5663027514,20252.1263646341,17451.4613940033,20360.7919464188
"TX-ET-22",18850.2188399195,20300.0051465664,20613.3118412402,20771.8203754723,21519.6284028387,15551.2926598567,20861.6822956422,17277.7689280555,12744.8495172263,21772.0784887149,25602.1323925745,25787.4817048042,25897.8653031501,13010.6038731415,13444.8316286345,29120.8972617573,29380.8239408747,29888.1077963984,19327.1626462717,19873.8523786337,23375.351912312,30094.9134014867,16693.9765236809,16941.4806720191,30090.8793462028,29907.2282493588,17977.2970358239,19360.772891688,29375.6753823039,3808.33244339288,3149.5692039013,9921.41611881848,8198.00800524548,6375.55095729583,4448.10123223872,4963.39191703126,6152.34749976545,10908.7721057131,8849.01397660156,7732.55649116848,8394.26095063788,14305.7130531358,13924.8776545142,16285.9588152934,10842.4954882568,9330.12548283636,12152.1096060671,5048.36283679909,0,3940.97317077473,3801.8742848736,7649.06257677377,1785.00431628224,16217.2443733279,17701.4790648527,18175.5831307454,17448.9741930125,17888.9575885468,16428.1063955676,13176.7154286009,15697.0893383916
"TX-ET-21",22779.1705635136,24214.7283339012,24516.0016424562,24650.585327966,25388.0355582944,18752.2304817999,24711.8485837931,20409.1973774738,15653.6613897563,25526.136596734,29325.3165736947,29488.1175396042,29558.4484412982,16876.0304401121,17369.7200375232,32612.0390146198,32887.4963017086,33455.8828121355,22483.2480518398,23777.1839042197,27236.5826288499,33631.9153153296,19901.3169077466,18387.1191004799,33774.4979139549,33510.4313456965,19617.2020112659,21132.3480618666,32858.1880702325,7297.52065791073,6824.98696642335,8767.21089335296,11888.7161671052,9293.39425275176,5579.30406340593,5294.69849426381,5656.35100263635,12072.9457543245,8048.37932260759,6777.49283793103,6692.56599340258,13661.8571380065,11897.7020721812,13952.3049917164,11835.4416738213,8354.93076959774,12178.7419671294,8262.99569574013,3940.97317077473,0,3123.34488891825,11139.8942181568,5039.51332191639,16721.586799771,16296.124509368,16770.0051478143,17773.0604142436,18230.2825340869,17091.6513614399,13375.4852067211,14995.6241301713
"TX-ET-19/20",21800.5526248446,23329.2105941967,23695.7090036291,23937.6783421778,24711.4228754663,19324.8000000667,24104.0254036562,21060.5234718764,16546.5782536655,25183.9775715414,29040.8547797211,29252.8796139632,29406.1721146171,16280.1940296795,16480.4920701448,32755.0776582981,33004.8669060934,33468.5420077339,23102.7029183854,22958.3988231334,26577.1770032062,33697.4485883704,20463.7690640695,20401.4638247076,33564.3231971443,33459.0730276395,21518.042486305,22953.5989778178,33014.6218751653,5526.38017207438,5372.22804348081,11735.2682465862,10022.7633801681,10166.2979430774,7502.33039984581,7593.22050395283,8327.60860917465,14192.7426843661,10906.7843875303,9649.12743358036,9742.88491819952,16549.3350891498,15017.6803626318,17069.664629858,14042.1240876887,11269.8300157497,14824.7701588478,6088.06885122636,3801.8742848736,3123.34488891825,0,9036.05575185383,5550.05728528482,19212.6068573755,19366.1881460264,19841.4790264162,20348.8505717413,20801.556202034,19512.4693991621,15967.3260921313,17908.7955718589
"TX-ET-17",13750.5304278074,15381.165929589,15851.3385376101,16285.7048280353,17095.9482347983,15269.9959098628,16652.068377087,16996.7233745904,13919.0103836761,18236.4007293532,22045.6115545956,22354.259407262,22681.5422052803,9552.66465081493,9008.70759106195,26572.5983040122,26754.1654046722,26965.1454165545,18726.8271161751,15148.6911270988,18922.6695625435,27305.4272299374,16223.5190248333,20675.6230194992,26579.4800658092,26814.7874278893,21267.29910866,22276.4318894437,26854.1845163489,3874.94646970766,4503.46526183931,17064.4957062138,1353.03862872232,9693.48359079791,11076.8501261526,11955.2222051818,13338.096270214,15863.0490947334,15881.7796135812,14947.2150885397,15854.6665079458,20824.5274237857,21332.9356469028,23779.7867171365,16029.4586964316,16419.2582203446,18235.0857473176,2951.08668285979,7649.06257677377,11139.8942181568,9036.05575185383,0,8020.32362330013,21401.6335131401,24665.1183567552,25126.3686428208,22766.5013496155,23155.3089693373,21388.2265095883,18985.6515309201,22188.3084113193
"IX-ET-4/16/23TX-ET-4/16/23",17933.3720700214,19316.2816397741,19589.3472385216,19685.7659872704,20410.1821076586,13911.4479119383,19717.5674869925,15617.9444732142,11017.4595525041,20489.8851584331,24285.9056289143,24448.9242155665,24523.0818984541,11911.8268014578,12527.9718391971,27627.9936444139,27897.1976960236,28443.6477043046,17678.4753464393,18853.1738126939,22249.6293808913,28630.2849411383,15058.6523057986,15206.7969702295,28736.8390119035,28487.8164246102,16218.5839192156,17589.3131023464,27877.9060311385,4503.39267504716,3709.11598696952,9064.03492448984,8285.15171140928,4618.21369425238,3161.68648883593,3950.18307285327,5318.59423632159,9262.36448164623,7903.4109789413,6929.15353754918,7865.97787247338,13120.0635121031,13315.4726531639,15779.0057593254,9235.2487312768,8428.67691706431,10786.1617133565,5862.24410223893,1785.00431628224,5039.51332191639,5550.05728528482,8020.32362330013,0,14662.8409838295,16750.4679350503,17218.4893065971,15929.1158239149,16361.4152951488,14834.9961926633,11739.5458069466,14508.5258500904
"XO-ET-3",23679.628624006,24222.1176782118,24102.8143809677,23643.3130859366,23990.166273463,13386.4670735467,23140.8079687384,13744.8170746119,10741.7144700791,22333.3530691771,24912.5131326529,24778.1046491379,24389.8370840498,18307.8261165039,19883.7118261401,25308.9691866948,25676.3995476472,26711.1545887751,15107.5522465026,23566.384959489,25285.787698383,26580.0368762821,13975.090286883,4373.48629421893,28167.1195631356,27097.3540350138,5767.413943728,7217.44117029904,25444.8823503891,18840.7557877825,18050.0954185525,8914.20605802088,20980.3649403872,11716.9356900437,11819.3386465754,11619.5752674269,11068.4995607944,5552.38923958252,9022.74429568851,10203.2147949023,11040.1186481138,5083.05311751118,10215.7878787358,11808.9140939832,5462.09551272903,8961.29673379392,4673.83180309667,20169.5910885959,16217.2443733279,16721.586799771,19212.6068573755,21401.6335131401,14662.8409838295,0,8181.4203974852,8339.46345826464,1390.75916640513,1754.01540291917,738.894196509568,3421.23008269111,4995.63503652983
"XO-ET-8",30320.8746809758,31118.4496433373,31095.9721327878,30755.7482774683,31205.4487160577,20826.8650328625,30358.9257254839,21488.9363526974,17696.5058071034,29855.4337373034,32720.8975813536,32627.0397940058,32293.859418268,24399.9088777615,25796.1366818228,33437.9772848623,33802.5471189378,34813.7478997243,23042.5024621358,30485.6242042429,32666.3846137937,34703.1052032474,21589.7004671495,12553.7809349469,36183.3304734549,35177.2929261388,13937.5053595427,15325.623287609,33581.6274497356,21244.1446218937,20456.9396215906,7786.21516357722,24676.7897084275,15959.9266430216,13611.2558284398,12821.2012861935,11550.0819854921,10677.510188199,8867.49141986288,9976.03202698666,9624.18242381909,4329.47556369023,4866.32825303171,4691.36515723383,10209.0134488673,8372.15454711749,7208.27355046311,22592.2468162996,17701.4790648527,16296.124509368,19366.1881460264,24665.1183567552,16750.4679350503,8181.4203974852,0,476.725595215893,7692.81246093994,7912.48385001741,8906.10421556354,7238.5793295321,3424.49378779964
"XO-ET-9",30680.7823106275,31463.306768201,31434.2648266609,31085.1955468343,31527.3080572879,21118.2692763948,30679.9227872741,21750.1683498965,18017.1691875849,30148.9328573178,32982.1151385133,32882.2699630875,32540.1884118622,24781.1957350748,26187.1951162218,33630.4200015788,33996.1903694215,35016.0800879132,23278.4608533865,30828.4541307031,32975.2173719902,34898.072922983,21865.551721217,12711.9537869814,36409.2143965835,35386.7313181003,14075.2182654214,15436.1774306505,33770.7876272097,21713.4688369665,20925.5843624552,8261.62465206732,25130.814415782,16385.6941428338,14076.9763114993,13291.5788673851,12023.841530717,11039.427316036,9339.30553452729,10451.2519774751,10099.8282582524,4705.39931184055,5292.93868085285,4954.21117716529,10578.7116005924,8845.82942402972,7591.67334007639,23062.3268208684,18175.5831307454,16770.0051478143,19841.4790264162,25126.3686428208,17218.4893065971,8339.46345826464,476.725595215893,0,7776.59481616356,7971.70624126726,9055.59949282607,7568.63583179838,3714.50423861096
"XO-ET-5",24959.977231713,25465.3094181243,25330.4170312756,24850.5209917309,25175.9060581788,14563.5847095736,24328.1649427448,14821.2792580209,12034.9695889192,23447.6856225484,25917.721313824,25764.9836688722,25349.7132711515,19654.6794533753,21238.8792670233,26085.9034538363,26456.6870571218,27518.8364343691,16082.9875130036,24807.5172939701,26430.5261259825,27362.9952763675,15097.1559222859,5152.57789185536,29049.5361932709,27928.0589877474,6388.96899620735,7673.49516700948,26210.1876396965,20155.3376781963,19361.2502595575,9660.96039843463,22358.5920083768,13089.0498335925,13024.9120332717,12763.079208136,12119.3374920224,6905.63512212145,9915.37540163668,11138.4889822844,11847.9211942129,5314.55830709121,10376.6286142318,11701.6954874844,6782.84424380584,9789.47946570576,5605.64076052075,21490.640670734,17448.9741930125,17773.0604142436,20348.8505717413,22766.5013496155,15929.1158239149,1390.75916640513,7692.81246093994,7776.59481616356,0,458.085757765593,1719.98607093432,4398.28546773155,4852.43582215024
"XO-ET-6",25154.7645518313,25633.9257217103,25488.9252420902,24996.4636453372,25308.8555129668,14699.1190855696,24462.4219721942,14903.675051935,12247.7255333627,23541.8909655115,25956.8811600791,25795.765764808,25368.5168709632,19908.6829062268,21501.5321678974,26028.3329829285,26400.2224862925,27472.6068993453,16116.4298775314,24975.0059164851,26539.68984178,27307.1098386955,15202.2366038992,5155.31817522038,29033.1036186534,27890.849981205,6320.12571550095,7538.13426738305,26148.0483237476,20572.852682313,19780.0464061573,10110.9850364075,22733.0719579454,13470.9273592018,13468.6736276558,13214.3326284934,12576.2168717684,7302.0129947312,10372.4165639774,11596.2858362822,12300.877214997,5715.99602388666,10747.9976230642,12012.6041163697,7195.23078685151,10244.1605891963,6063.707026219,21905.5663027514,17888.9575885468,18230.2825340869,20801.556202034,23155.3089693373,16361.4152951488,1754.01540291917,7912.48385001741,7971.70624126726,458.085757765593,0,1940.95985604473,4855.11638432511,5187.43892148719
"XO-ET-4",23241.5356685115,23745.7463306619,23612.312334968,23135.6600141223,23465.9404079134,12854.2622452005,22617.713684851,13149.9650295626,10320.8063640903,21761.9367022439,24287.208047635,24145.2149118215,23746.4156058151,17967.8971359972,19560.6643968604,24612.4273359975,24980.6625394002,26021.9477659077,14467.2598885358,23088.0764939524,24733.3894514891,25885.0443804065,13406.2175901873,3658.5736847974,27498.353704389,26413.9755117173,5034.94078738151,6478.58444612274,24745.8500679804,18935.7826685979,18151.7636919938,9474.32954909695,20922.3996627628,11694.8245047714,12069.2538031285,11929.3703676871,11453.3981386034,5619.8343752935,9513.85345943014,10665.3571607689,11564.9430069666,5798.82682147805,10927.1761355066,12544.4190774737,5599.93890383635,9485.01686848158,5184.51150075989,20252.1263646341,16428.1063955676,17091.6513614399,19512.4693991621,21388.2265095883,14834.9961926633,738.894196509568,8906.10421556354,9055.59949282607,1719.98607093432,1940.95985604473,0,3934.54567433679,5734.50727454582
"XO-ET-1",23138.8834943675,23898.0995434592,23865.8463867206,23518.4021834983,23967.0218193867,13635.7377046284,23120.6742556179,14407.8406310907,10459.0236554582,22650.7508798973,25611.9335912358,25542.3576370544,25249.0027863152,17326.6212633311,18788.7331631632,26699.7485842859,27054.5914244674,28004.9200741157,16085.1760653131,23261.8720562141,25436.0261039926,27942.568355805,14447.1860975314,6641.72795585313,29232.2775421591,28323.068821344,8139.77213232283,9745.83714817958,26865.2429379525,16096.2287405798,15293.069857513,5547.58576535607,18728.1871731396,9517.03005719075,8730.07485973519,8397.06216942322,7721.10300646067,3563.76918066553,5601.5551051596,6787.24423689984,7632.30896580357,3004.21680710389,7626.17419247298,9677.69664632295,3178.45577611694,5552.14612841126,1253.9253515098,17451.4613940033,13176.7154286009,13375.4852067211,15967.3260921313,18985.6515309201,11739.5458069466,3421.23008269111,7238.5793295321,7568.63583179838,4398.28546773155,4855.11638432511,3934.54567433679,0,3878.41769948489
"XO-ET-2",27016.7292590339,27773.3239852905,27736.1874030298,27378.942708153,27816.3074657111,17407.2515423829,26968.5529201843,18066.1709272961,14306.7214478574,26437.2488169793,29297.6963450464,29205.7638377855,28876.9934588783,21178.3020542625,22619.0407130604,30082.6388048705,30445.0975303411,31442.4829787999,19634.6439991049,27135.8871221459,29260.7515577328,31343.2019565993,18165.3456212671,9310.2029445416,32782.5195801818,31795.9658611872,10745.3660807007,12213.0737816572,30231.7770917099,18997.3033992451,18194.7606909821,6242.63620670073,22067.3476454527,13053.6959769654,11353.8125670412,10734.1455547373,9661.55515907652,7405.42351844587,7005.86676801891,8259.68322849267,8425.00755293932,1391.76998000252,5617.67866556394,6862.64111459255,6972.83770690178,6646.45801386733,4092.52506486126,20360.7919464188,15697.0893383916,14995.6241301713,17908.7955718589,22188.3084113193,14508.5258500904,4995.63503652983,3424.49378779964,3714.50423861096,4852.43582215024,5187.43892148719,5734.50727454582,3878.41769948489,0
