"","CH-EF-1","CH-EF-2","IX-EF-1","IX-EF-2","IX-EF-3","XO-EF-1","XO-EF-2"
"CH-EF-1",0,382.862991325538,25819.3061090533,32414.7154248536,37888.2261794029,35131.1619221023,34610.1179338163
"CH-EF-2",382.862991325538,0,26177.3065165407,32793.1791488193,38261.9567522478,35512.8596319113,34992.0965744109
"IX-EF-1",25819.3061090533,26177.3065165407,0,9005.44331081293,12891.8793182756,12675.4243700665,12463.1550388258
"IX-EF-2",32414.7154248536,32793.1791488193,9005.44331081293,0,5960.09198963987,3693.2555171222,3575.30524126704
"IX-EF-3",37888.2261794029,38261.9567522478,12891.8793182756,5960.09198963987,0,5848.21382219295,6389.24339947088
"XO-EF-1",35131.1619221023,35512.8596319113,12675.4243700665,3693.2555171222,5848.21382219295,0,629.059743653732
"XO-EF-2",34610.1179338163,34992.0965744109,12463.1550388258,3575.30524126704,6389.24339947088,629.059743653732,0
