"","IX-EF_MF-1","IX-EF_MF-2","IX-EF_MF-3"
"IX-EF_MF-1",0,8987.12996965008,12867.3909383836
"IX-EF_MF-2",8987.12996965008,0,5960.09198963987
"IX-EF_MF-3",12867.3909383836,5960.09198963987,0
